,Track,Artist,Release Date,Spotify Playlist Count 2023,Spotify Chart Counts 2023,Streams 2023,Apple Music Playlist Count 2023,Apple Music Chart Counts 2023,Deezer Playlist Count 2023,Deezer Chart Counts 2023,Shazam Chart Counts 2023,Bpm,Key,Mode,Danceability %,Valence %,Energy %,Acousticness %,Instrumentalness %,Liveness %,Speechiness %
812,I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",5/6/2022,1657,0,121077868.0,15,3,3,0,0.0,96.0,B,Major,71.0,37.0,52.0,62.0,0.0,11.0,36.0
813,Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",4/29/2022,1351,0,106919680.0,26,1,17,0,0.0,150.0,G#,Minor,82.0,82.0,66.0,13.0,0.0,11.0,6.0
814,ZOOM,Jessi,4/13/2022,608,0,136996305.0,5,29,14,0,0.0,100.0,F#,Major,87.0,46.0,60.0,1.0,0.0,13.0,16.0
815,SloMo,Chanel,12/24/2021,1211,0,65719930.0,31,0,19,0,2.0,105.0,C#,Minor,73.0,59.0,81.0,13.0,0.0,9.0,6.0
816,FEARLESS,LE SSERAFIM,5/2/2022,629,0,229497852.0,18,75,9,0,0.0,104.0,G,Major,86.0,43.0,62.0,5.0,0.0,13.0,14.0
817,10 Things I Hate About You,Leah Kate,3/23/2022,1301,0,185550869.0,23,1,15,0,0.0,154.0,G#,Major,54.0,45.0,79.0,1.0,0.0,17.0,5.0
818,SPACE MAN,Sam Ryder,2/22/2022,1329,0,54682594.0,42,51,32,0,0.0,80.0,B,Major,47.0,33.0,83.0,18.0,0.0,10.0,5.0
819,With you,"HA SUNG WOON, Jimin",4/24/2022,343,2,240580042.0,4,35,11,1,1.0,150.0,D#,Major,53.0,14.0,43.0,64.0,0.0,13.0,3.0
820,Iris,The Goo Goo Dolls,3/31/1998,13101,9,1284942608.0,137,5,582,0,0.0,156.0,B,Minor,32.0,49.0,72.0,0.0,0.0,9.0,4.0
821,The Heart Part 5,Kendrick Lamar,5/8/2022,2939,0,71423324.0,29,0,30,0,0.0,98.0,G#,Minor,76.0,79.0,81.0,18.0,0.0,6.0,34.0
822,San Lucas,Kevin Kaarl,11/7/2019,407,1,244891912.0,5,0,5,0,0.0,92.0,G,Major,58.0,27.0,36.0,86.0,0.0,9.0,3.0
823,This Love (Taylor���s Ve,Taylor Swift,5/6/2022,1492,0,132171975.0,26,2,15,0,2.0,144.0,E,Major,47.0,7.0,50.0,32.0,0.0,7.0,4.0
824,Good Looking,Suki Waterhouse,10/20/2017,2264,0,184706613.0,11,6,25,0,1.0,150.0,E,Major,37.0,27.0,56.0,8.0,0.0,13.0,3.0
